short_name,long_name,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_name,club_position,club_jersey_number,nationality_name,preferred_foot,pace,shooting,passing,dribbling,defending,physic,skill_dribbling,skill_curve,skill_ball_control,movement_agility,movement_reactions,power_shot_power,power_jumping,player_face_url,club_logo_url
J. Denayer,Jason Denayer,64,77,325000.0,7000.0,19,184,70,Celtic,SUB,22.0,Belgium,Right,76.0,41.0,50.0,62.0,62.0,73.0,62,34,64,62,55,50,68,https://cdn.sofifa.net/players/220/182/15_120.png,https://cdn.sofifa.net/teams/78/60.png
Diego Rico,Diego Rico Salguero,64,71,375000.0,7000.0,21,181,75,Real Zaragoza,LB,26.0,Spain,Left,66.0,51.0,53.0,60.0,67.0,69.0,59,68,60,62,61,75,61,https://cdn.sofifa.net/players/220/414/15_120.png,https://cdn.sofifa.net/teams/244/60.png
Óscar Whalley,Óscar Alexander Whalley Guardado,64,71,375000.0,6000.0,20,192,82,Real Zaragoza,GK,30.0,Spain,Right,,,,,,,21,25,30,34,66,23,64,https://cdn.sofifa.net/players/220/433/15_120.png,https://cdn.sofifa.net/teams/244/60.png
D. Davydov,Denis Davydov,64,80,450000.0,8000.0,19,175,65,Spartak Moskva,SUB,69.0,Russia,Right,73.0,64.0,47.0,74.0,26.0,52.0,75,42,73,76,64,63,61,https://cdn.sofifa.net/players/220/612/15_120.png,https://cdn.sofifa.net/teams/100767/60.png
I. Bukenya,Ivan Bukenya,64,70,375000.0,8000.0,22,190,82,Kaizer Chiefs,SUB,30.0,Uganda,Right,47.0,28.0,50.0,42.0,67.0,70.0,42,33,40,43,53,42,75,https://cdn.sofifa.net/players/220/622/15_120.png,https://cdn.sofifa.net/teams/110929/60.png
Marco Asensio,Marco Asensio Willemsen,64,72,375000.0,2000.0,18,178,70,RCD Mallorca,CAM,27.0,Spain,Left,63.0,50.0,65.0,64.0,34.0,55.0,60,54,67,69,62,57,55,https://cdn.sofifa.net/players/220/834/15_120.png,https://cdn.sofifa.net/teams/453/60.png
C. Rivas,Carlos Augusto Rivas Murillo,64,69,500000.0,8000.0,20,174,70,Deportivo Cali,RS,11.0,Colombia,Left,77.0,60.0,46.0,65.0,29.0,69.0,64,57,65,70,67,65,57,https://cdn.sofifa.net/players/220/934/15_120.png,https://cdn.sofifa.net/teams/101102/60.png
J. Ramos,Jorge Luis Ramos Sánchez,64,71,500000.0,2000.0,21,182,80,Fortaleza CEIF,RS,9.0,Colombia,Right,74.0,61.0,50.0,61.0,29.0,65.0,59,48,63,68,61,64,82,https://cdn.sofifa.net/players/221/244/15_120.png,https://cdn.sofifa.net/teams/112834/60.png
J. Riedewald,Jaïro Riedewald,64,80,325000.0,5000.0,17,182,79,Ajax,RES,12.0,Netherlands,Left,65.0,44.0,63.0,62.0,63.0,69.0,59,34,65,65,64,62,72,https://cdn.sofifa.net/players/221/269/15_120.png,https://cdn.sofifa.net/teams/245/60.png
Y. Mbombo,Yanis Mbombo Lokwa,64,74,500000.0,5000.0,20,179,73,AJ Auxerre,ST,24.0,Belgium,Right,82.0,64.0,52.0,66.0,27.0,54.0,65,51,64,74,61,65,73,https://cdn.sofifa.net/players/221/274/15_120.png,https://cdn.sofifa.net/teams/57/60.png
L. Houri,Lyes Hafid Houri,64,74,375000.0,2000.0,18,180,75,Valenciennes FC,SUB,32.0,France,Right,69.0,55.0,67.0,71.0,50.0,54.0,71,68,72,73,68,65,50,https://cdn.sofifa.net/players/221/336/15_120.png,https://cdn.sofifa.net/teams/110456/60.png
T. Karagounis,Athanasios Karagounis,64,73,425000.0,5000.0,22,179,69,PEC Zwolle,SUB,8.0,Greece,Right,75.0,59.0,63.0,68.0,27.0,52.0,70,68,69,66,40,63,40,https://cdn.sofifa.net/players/221/365/15_120.png,https://cdn.sofifa.net/teams/1914/60.png
Wander,Wander Luiz Bitencourt Junior,64,65,600000.0,9000.0,27,180,73,Ulsan Hyundai FC,RCM,8.0,Brazil,Left,68.0,57.0,61.0,70.0,25.0,53.0,71,58,70,72,61,66,53,https://cdn.sofifa.net/players/221/462/15_120.png,https://cdn.sofifa.net/teams/1473/60.png
E. Markkanen,Eero Markkanen,64,67,500000.0,8000.0,22,197,97,Real Madrid CF,RES,33.0,Finland,Left,62.0,66.0,49.0,54.0,30.0,71.0,52,51,68,34,54,73,58,https://cdn.sofifa.net/players/221/511/15_120.png,https://cdn.sofifa.net/teams/243/60.png
R. Dekker,Rick Dekker,64,75,400000.0,4000.0,19,174,64,PEC Zwolle,SUB,19.0,Netherlands,Right,74.0,51.0,61.0,65.0,61.0,58.0,64,56,65,65,56,65,62,https://cdn.sofifa.net/players/221/521/15_120.png,https://cdn.sofifa.net/teams/1914/60.png
S. Heltne Nilsen,Sivert Heltne Nilsen,64,68,350000.0,8000.0,22,185,78,Vålerenga Fotball,LCM,8.0,Norway,Right,67.0,51.0,58.0,64.0,58.0,79.0,65,52,68,59,54,57,63,https://cdn.sofifa.net/players/221/552/15_120.png,https://cdn.sofifa.net/teams/920/60.png
D. González,Dairin González Mosquera,64,67,475000.0,2000.0,24,193,85,Fortaleza CEIF,LCB,26.0,Colombia,Right,49.0,30.0,41.0,42.0,63.0,80.0,38,26,46,42,63,45,51,https://cdn.sofifa.net/players/221/580/15_120.png,https://cdn.sofifa.net/teams/112834/60.png
J. Martínez,Járol Enrique Martínez González,64,65,475000.0,7000.0,27,175,75,Atlético Huila,LB,3.0,Colombia,Left,74.0,38.0,52.0,59.0,62.0,69.0,54,48,59,69,66,58,55,https://cdn.sofifa.net/players/221/624/15_120.png,https://cdn.sofifa.net/teams/112528/60.png
H. Hechalar,Hernán Ignacio Hechalar,64,66,625000.0,7000.0,26,173,72,Atlético Huila,SUB,21.0,Argentina,Left,78.0,58.0,57.0,67.0,26.0,52.0,64,30,65,76,65,63,55,https://cdn.sofifa.net/players/221/627/15_120.png,https://cdn.sofifa.net/teams/112528/60.png
W. Kanon,Serge Wilfried Kanon,64,70,375000.0,4000.0,20,188,85,ADO Den Haag,SUB,5.0,Côte d'Ivoire,Left,60.0,38.0,42.0,43.0,66.0,72.0,42,32,44,46,45,64,68,https://cdn.sofifa.net/players/221/641/15_120.png,https://cdn.sofifa.net/teams/650/60.png
L. Ontivero,Lucas Elías Ontivero,64,78,400000.0,5000.0,19,170,64,Gaziantepspor,SUB,94.0,Argentina,Left,79.0,59.0,54.0,68.0,30.0,36.0,69,57,61,73,65,70,48,https://cdn.sofifa.net/players/221/884/15_120.png,https://cdn.sofifa.net/teams/101024/60.png
M. Ben Othman,Mohammed Slim Ben Othman,64,68,550000.0,5000.0,24,181,72,Angers SCO,SUB,11.0,Tunisia,Left,68.0,60.0,61.0,65.0,27.0,55.0,66,56,65,65,58,58,53,https://cdn.sofifa.net/players/221/894/15_120.png,https://cdn.sofifa.net/teams/1530/60.png
J. Rodríguez,Julio César Rodríguez Giménez,64,68,550000.0,2000.0,23,182,85,Defensa y Justicia,ST,20.0,Paraguay,Right,65.0,65.0,45.0,62.0,26.0,62.0,62,59,63,57,62,71,69,https://cdn.sofifa.net/players/221/968/15_120.png,https://cdn.sofifa.net/teams/111710/60.png
T. Hamed,Tarek Hamed,64,69,,,25,179,74,,,,Egypt,Right,64.0,61.0,63.0,63.0,68.0,59.0,65,39,59,59,59,63,63,https://cdn.sofifa.net/players/222/134/15_120.png,
B. Parlak,Birol Parlak,64,68,475000.0,5000.0,24,182,79,Eskişehirspor,LCB,53.0,Turkey,Left,64.0,53.0,45.0,56.0,64.0,74.0,53,41,58,64,62,55,64,https://cdn.sofifa.net/players/222/151/15_120.png,https://cdn.sofifa.net/teams/111988/60.png
J. Minala,Joseph Minala,64,81,425000.0,2000.0,17,184,80,Bari,SUB,14.0,Cameroon,Right,70.0,57.0,59.0,66.0,54.0,64.0,66,54,68,64,57,67,72,https://cdn.sofifa.net/players/222/391/15_120.png,https://cdn.sofifa.net/teams/1848/60.png
S. Griesbeck,Sebastian Griesbeck,64,68,400000.0,2000.0,23,189,84,1. FC Heidenheim 1846,RDM,18.0,Germany,Right,55.0,44.0,55.0,58.0,65.0,76.0,54,39,64,56,63,55,50,https://cdn.sofifa.net/players/222/553/15_120.png,https://cdn.sofifa.net/teams/111235/60.png
R. Karsdorp,Rick Karsdorp,64,78,450000.0,8000.0,19,186,78,Feyenoord,SUB,26.0,Netherlands,Right,70.0,66.0,62.0,62.0,49.0,70.0,60,65,66,62,60,74,75,https://cdn.sofifa.net/players/222/558/15_120.png,https://cdn.sofifa.net/teams/246/60.png
A. Çalık,Ahmet Yılmaz Çalık,64,80,375000.0,4000.0,20,186,77,Gençlerbirliği SK,LCB,4.0,Turkey,Right,60.0,36.0,43.0,40.0,67.0,62.0,30,27,48,42,61,38,75,https://cdn.sofifa.net/players/223/046/15_120.png,https://cdn.sofifa.net/teams/101025/60.png
J. Fortes,Jeffrey Fortes,64,67,500000.0,2000.0,25,182,75,FC Dordrecht,RB,2.0,Cape Verde Islands,Right,78.0,45.0,59.0,62.0,61.0,70.0,64,65,57,67,68,65,77,https://cdn.sofifa.net/players/223/117/15_120.png,https://cdn.sofifa.net/teams/100626/60.png
Á. Lang,Ádám Lang,64,70,,,21,185,78,,,,Hungary,Right,66.0,40.0,43.0,42.0,65.0,67.0,31,27,48,59,58,51,73,https://cdn.sofifa.net/players/223/207/15_120.png,
Z. Kalmár,Zsolt Kalmár,64,73,450000.0,5000.0,19,185,78,RB Leipzig,SUB,19.0,Hungary,Right,74.0,58.0,62.0,65.0,38.0,56.0,68,42,62,68,63,64,69,https://cdn.sofifa.net/players/223/208/15_120.png,https://cdn.sofifa.net/teams/112172/60.png
K. Vandendriessche,Kévin Vandendriessche,64,67,550000.0,2000.0,24,183,86,Royal Excel Mouscron,RCM,26.0,France,Right,62.0,61.0,60.0,57.0,62.0,84.0,54,41,62,55,63,79,62,https://cdn.sofifa.net/players/223/223/15_120.png,https://cdn.sofifa.net/teams/111560/60.png
L. Prichoda,Lihué Darío Prichoda,64,67,575000.0,6000.0,25,178,73,Club Atlético Banfield,SUB,9.0,Argentina,Right,79.0,52.0,56.0,67.0,28.0,60.0,67,44,65,69,63,59,52,https://cdn.sofifa.net/players/223/234/15_120.png,https://cdn.sofifa.net/teams/110404/60.png
M. Benítez,Marcelo Nicolás Benítez,64,67,425000.0,2000.0,23,178,74,Defensa y Justicia,LB,18.0,Argentina,Left,78.0,38.0,58.0,61.0,61.0,66.0,58,52,60,72,61,51,73,https://cdn.sofifa.net/players/223/241/15_120.png,https://cdn.sofifa.net/teams/111710/60.png
M. Justesen,Mads Justesen,64,64,325000.0,5000.0,31,196,90,Hobro IK,RCB,13.0,Denmark,Right,54.0,48.0,50.0,43.0,64.0,75.0,38,24,51,45,45,56,71,https://cdn.sofifa.net/players/223/530/15_120.png,https://cdn.sofifa.net/teams/112425/60.png
E. Berggren,Emil Berggreen,64,72,500000.0,5000.0,21,194,88,Hobro IK,ST,9.0,Denmark,Right,64.0,64.0,42.0,57.0,28.0,71.0,57,58,58,58,59,69,73,https://cdn.sofifa.net/players/223/537/15_120.png,https://cdn.sofifa.net/teams/112425/60.png
D. Monllor,Arturo Daniel Monllor,64,64,525000.0,5000.0,29,190,86,Boavista FC,RES,21.0,Argentina,Right,,,,,,,25,25,21,33,63,21,54,https://cdn.sofifa.net/players/223/547/15_120.png,https://cdn.sofifa.net/teams/1898/60.png
M. Spano,Maxime Spano Rahou,64,70,325000.0,4000.0,19,184,79,Toulouse Football Club,SUB,2.0,France,Right,66.0,33.0,44.0,49.0,65.0,69.0,46,39,54,48,49,56,74,https://cdn.sofifa.net/players/223/594/15_120.png,https://cdn.sofifa.net/teams/1809/60.png
M. Arguinarena,Mikel Arguinarena Lara,64,69,550000.0,3000.0,23,171,63,AC Barnechea,SUB,10.0,Chile,Right,86.0,50.0,61.0,70.0,35.0,44.0,70,73,65,88,61,50,71,https://cdn.sofifa.net/players/223/611/15_120.png,https://cdn.sofifa.net/teams/112708/60.png
A. Polo,Andy Jorman Polo Andrade,64,75,450000.0,8000.0,19,170,68,Millonarios FC,RES,9.0,Peru,Right,77.0,57.0,57.0,68.0,26.0,43.0,64,53,68,83,56,62,42,https://cdn.sofifa.net/players/223/637/15_120.png,https://cdn.sofifa.net/teams/101105/60.png
Borja Lázaro,Luis Borja Lázaro Fernández,64,66,625000.0,4000.0,26,189,84,CD Leganés,SUB,14.0,Spain,Right,56.0,66.0,46.0,60.0,30.0,63.0,65,50,56,51,59,66,65,https://cdn.sofifa.net/players/223/659/15_120.png,https://cdn.sofifa.net/teams/100888/60.png
P. Bourdin,Pierre Bourdin,64,70,375000.0,4000.0,20,185,79,KSV Cercle Brugge,SUB,15.0,France,Left,66.0,26.0,48.0,42.0,64.0,65.0,29,23,59,42,62,38,75,https://cdn.sofifa.net/players/223/668/15_120.png,https://cdn.sofifa.net/teams/1750/60.png
C. Mac-Intosh,Calvin Leonardus Mac-Intosch,64,69,475000.0,5000.0,24,181,78,SC Cambuur,SUB,30.0,Netherlands,Right,68.0,38.0,50.0,56.0,65.0,67.0,56,34,59,49,52,46,74,https://cdn.sofifa.net/players/223/687/15_120.png,https://cdn.sofifa.net/teams/647/60.png
S. Rochet,Sergio Ramón Rochet Álvarez,64,69,375000.0,5000.0,21,190,80,AZ Alkmaar,SUB,25.0,Uruguay,Right,,,,,,,25,25,23,30,53,20,55,https://cdn.sofifa.net/players/223/690/15_120.png,https://cdn.sofifa.net/teams/1906/60.png
E. Kaş,Erkan Kaş,64,68,425000.0,5000.0,22,183,75,Kardemir Karabükspor,SUB,39.0,Turkey,Left,74.0,56.0,61.0,65.0,36.0,60.0,65,59,64,70,62,59,46,https://cdn.sofifa.net/players/223/726/15_120.png,https://cdn.sofifa.net/teams/112122/60.png
T. van Weert,Tom van Weert,64,68,600000.0,3000.0,24,180,74,Excelsior,ST,9.0,Netherlands,Right,65.0,64.0,48.0,61.0,27.0,58.0,58,48,64,65,64,65,73,https://cdn.sofifa.net/players/223/730/15_120.png,https://cdn.sofifa.net/teams/1971/60.png
Tom,Wellington Brito da Silva,64,64,500000.0,7000.0,28,181,73,İstanbul Başakşehir FK,SUB,21.0,Brazil,Right,71.0,62.0,62.0,66.0,27.0,57.0,68,61,64,64,54,64,48,https://cdn.sofifa.net/players/223/735/15_120.png,https://cdn.sofifa.net/teams/101014/60.png
P. Leeuwenburgh,Peter Leeuwenburgh,64,74,375000.0,7000.0,20,196,84,Ajax,RES,31.0,Netherlands,Right,,,,,,,25,25,23,31,64,21,55,https://cdn.sofifa.net/players/223/737/15_120.png,https://cdn.sofifa.net/teams/245/60.png
S. Grahovac,Srdjan Grahovac,64,74,425000.0,8000.0,21,182,75,SK Rapid Wien,SUB,15.0,Bosnia and Herzegovina,Right,66.0,62.0,65.0,69.0,48.0,59.0,68,62,72,73,57,63,58,https://cdn.sofifa.net/players/223/793/15_120.png,https://cdn.sofifa.net/teams/254/60.png
P. Schobesberger,Philipp Schobesberger,64,71,500000.0,8000.0,20,176,64,SK Rapid Wien,SUB,7.0,Austria,Right,81.0,57.0,57.0,70.0,36.0,58.0,69,51,72,76,54,55,62,https://cdn.sofifa.net/players/223/794/15_120.png,https://cdn.sofifa.net/teams/254/60.png
Cámara,Juan del Cármen Cámara Mesa,64,70,425000.0,2000.0,20,180,66,FC Barcelona B,SUB,17.0,Spain,Left,75.0,58.0,65.0,64.0,27.0,47.0,64,67,65,62,56,61,49,https://cdn.sofifa.net/players/223/819/15_120.png,https://cdn.sofifa.net/teams/110704/60.png
Anderson Correia,Anderson Correia de Barros,64,69,425000.0,5000.0,23,177,68,Boavista FC,LB,91.0,Brazil,Left,85.0,42.0,60.0,68.0,61.0,55.0,66,68,68,75,68,57,59,https://cdn.sofifa.net/players/223/829/15_120.png,https://cdn.sofifa.net/teams/1898/60.png
D. González,Daniel Alberto González,64,68,500000.0,5000.0,23,179,71,Godoy Cruz,LM,17.0,Argentina,Left,73.0,48.0,61.0,66.0,35.0,53.0,66,53,65,73,63,53,43,https://cdn.sofifa.net/players/223/845/15_120.png,https://cdn.sofifa.net/teams/111706/60.png
G. Monzón,Gastón Ezequiel Monzón,64,66,500000.0,7000.0,27,184,82,Deportivo San Marcos de Arica,SUB,1.0,Argentina,Right,,,,,,,25,25,28,42,64,29,68,https://cdn.sofifa.net/players/223/854/15_120.png,https://cdn.sofifa.net/teams/112586/60.png
O. Salinas,Oscar Fernando Salinas Aguilar,64,69,625000.0,7000.0,26,173,64,Deportivo San Marcos de Arica,SUB,26.0,Chile,Right,83.0,63.0,50.0,66.0,30.0,63.0,64,37,67,78,54,62,65,https://cdn.sofifa.net/players/223/857/15_120.png,https://cdn.sofifa.net/teams/112586/60.png
D. Djikanovic,Djordje Djikanovic,64,64,400000.0,5000.0,29,191,81,Hajer,CB,6.0,Montenegro,Right,62.0,26.0,50.0,57.0,63.0,73.0,58,43,57,70,46,33,71,https://cdn.sofifa.net/players/223/927/15_120.png,https://cdn.sofifa.net/teams/112394/60.png
A. Marušić,Adam Marušić,64,70,425000.0,5000.0,21,185,76,KV Kortrijk,RM,11.0,Serbia,Right,76.0,61.0,59.0,65.0,28.0,68.0,65,55,66,61,64,60,55,https://cdn.sofifa.net/players/224/031/15_120.png,https://cdn.sofifa.net/teams/100081/60.png
Gökçek Vederson,Wederson Luiz da Silva Medeiros,64,64,300000.0,5000.0,32,176,75,Mersin İdman Yurdu,LB,6.0,Brazil,Left,80.0,62.0,68.0,67.0,62.0,58.0,65,68,69,67,62,84,61,https://cdn.sofifa.net/players/224/096/15_120.png,https://cdn.sofifa.net/teams/101036/60.png
M. Ezzat,Mahmoud Ezzat,64,69,375000.0,5000.0,22,189,79,CD Nacional,LCB,4.0,Egypt,Right,53.0,36.0,49.0,47.0,65.0,69.0,45,40,47,54,58,53,59,https://cdn.sofifa.net/players/224/118/15_120.png,https://cdn.sofifa.net/teams/1891/60.png
A. Damčevski,Aleksandar Damčevski,64,68,375000.0,5000.0,21,193,88,NAC Breda,LCB,4.0,North Macedonia,Left,43.0,31.0,41.0,49.0,62.0,75.0,51,28,54,34,46,42,67,https://cdn.sofifa.net/players/224/159/15_120.png,https://cdn.sofifa.net/teams/1904/60.png
S. Zúñiga,Sebastián Zúñiga Fuenzalida,64,72,600000.0,9000.0,24,174,72,Universidad de Chile,SUB,16.0,Chile,Right,79.0,64.0,64.0,66.0,27.0,64.0,65,75,63,77,52,64,60,https://cdn.sofifa.net/players/224/169/15_120.png,https://cdn.sofifa.net/teams/15029/60.png
Leandro,Leândro Messias dos Santos,64,64,375000.0,5000.0,30,183,77,Korona Kielce,LB,28.0,Brazil,Right,64.0,35.0,53.0,57.0,65.0,65.0,62,26,54,38,51,45,78,https://cdn.sofifa.net/players/224/286/15_120.png,https://cdn.sofifa.net/teams/111083/60.png
Ancelmo Júnior,Ancelmo de Holanda Bessa Júnior,64,66,600000.0,6000.0,24,180,75,Boavista FC,RES,80.0,Brazil,Right,68.0,56.0,68.0,65.0,46.0,55.0,66,63,67,65,51,66,57,https://cdn.sofifa.net/players/224/291/15_120.png,https://cdn.sofifa.net/teams/1898/60.png
G. Reyes,Guillermo Martín Reyes Maneiro,64,64,500000.0,7000.0,27,186,85,CD Huachipato,GK,1.0,Uruguay,Left,,,,,,,25,25,25,33,61,25,50,https://cdn.sofifa.net/players/224/343/15_120.png,https://cdn.sofifa.net/teams/111327/60.png
G. Shitolo,Gladwin Shitolo,64,70,475000.0,9000.0,24,180,65,Orlando Pirates,RES,13.0,South Africa,Right,62.0,36.0,43.0,51.0,68.0,66.0,48,28,52,50,60,41,71,https://cdn.sofifa.net/players/224/445/15_120.png,https://cdn.sofifa.net/teams/110930/60.png
E. Boateng,Emmanuel Okyere Boateng,64,77,425000.0,2000.0,18,175,70,Rio Ave FC,ST,13.0,Ghana,Right,78.0,59.0,51.0,71.0,33.0,58.0,70,54,67,83,67,64,83,https://cdn.sofifa.net/players/224/540/15_120.png,https://cdn.sofifa.net/teams/744/60.png
Ž. Benedičič,Žan Benedičič,64,75,425000.0,2000.0,18,185,75,Leeds United,RES,31.0,Slovenia,Left,66.0,62.0,65.0,67.0,46.0,57.0,68,70,72,59,58,65,56,https://cdn.sofifa.net/players/224/755/15_120.png,https://cdn.sofifa.net/teams/8/60.png
J. Ortega,Jorge Miguel Ortega Salinas,64,67,550000.0,9000.0,23,183,78,Junior FC,SUB,24.0,Paraguay,Right,70.0,62.0,45.0,56.0,38.0,59.0,52,35,61,58,66,64,71,https://cdn.sofifa.net/players/224/845/15_120.png,https://cdn.sofifa.net/teams/101101/60.png
Lupeta,Joaquim Manuel Welo Lupeta,64,69,500000.0,5000.0,21,186,90,Vitória de Setúbal,SUB,45.0,Portugal,Right,52.0,67.0,49.0,61.0,27.0,73.0,66,32,62,52,55,78,52,https://cdn.sofifa.net/players/224/889/15_120.png,https://cdn.sofifa.net/teams/665/60.png
M. Seanego,Maselaelo Seanego,64,70,425000.0,7000.0,20,170,63,Orlando Pirates,RES,37.0,South Africa,Left,76.0,46.0,58.0,71.0,24.0,41.0,70,44,68,83,56,41,38,https://cdn.sofifa.net/players/224/918/15_120.png,https://cdn.sofifa.net/teams/110930/60.png
André Moreira,André Campos Moreira,64,80,325000.0,2000.0,18,195,85,Moreirense FC,SUB,24.0,Portugal,Right,,,,,,,25,25,26,35,58,21,51,https://cdn.sofifa.net/players/224/953/15_120.png,https://cdn.sofifa.net/teams/1900/60.png
Vallejo,Jesús Vallejo Lázaro,64,74,325000.0,3000.0,17,182,77,Real Zaragoza,RCB,31.0,Spain,Right,63.0,31.0,42.0,42.0,65.0,64.0,29,31,56,44,60,45,67,https://cdn.sofifa.net/players/225/161/15_120.png,https://cdn.sofifa.net/teams/244/60.png
S. Del Mare,Stefano Del Mare,64,64,550000.0,3000.0,27,174,72,Vicenza,LM,19.0,Italy,Right,76.0,62.0,64.0,64.0,29.0,56.0,62,67,62,73,62,58,56,https://cdn.sofifa.net/players/225/221/15_120.png,https://cdn.sofifa.net/teams/112954/60.png
Bruno Gaspar,Bruno Miguel Boialvo Gaspar,64,72,375000.0,5000.0,21,176,68,Vitória de Guimarães,RB,76.0,Portugal,Right,69.0,39.0,51.0,62.0,66.0,64.0,59,44,65,64,57,46,78,https://cdn.sofifa.net/players/225/402/15_120.png,https://cdn.sofifa.net/teams/1887/60.png
B. Jovicic,Branko Jovičić,64,70,350000.0,5000.0,21,179,74,Amkar Perm,CAM,33.0,Serbia,Right,70.0,45.0,59.0,59.0,66.0,62.0,59,45,58,55,68,62,71,https://cdn.sofifa.net/players/225/553/15_120.png,https://cdn.sofifa.net/teams/110234/60.png
P. Ramírez,Pedro Antonio Ramírez Paredes,64,69,500000.0,5000.0,21,165,68,FC Sion,SUB,5.0,Venezuela,Right,74.0,56.0,60.0,67.0,27.0,47.0,64,49,61,88,66,62,51,https://cdn.sofifa.net/players/254/664/15_120.png,https://cdn.sofifa.net/teams/110770/60.png
M. Kašćelan,Mladen Kašćelan,63,63,190000.0,2000.0,31,178,73,Arsenal Tula,LDM,18.0,Montenegro,Right,67.0,43.0,53.0,50.0,63.0,81.0,41,34,55,60,57,46,77,https://cdn.sofifa.net/players/000/057/15_120.png,https://cdn.sofifa.net/teams/110756/60.png
Fary,Fary Faye,63,63,35000.0,3000.0,39,177,68,Boavista FC,SUB,9.0,Senegal,Right,46.0,64.0,52.0,58.0,27.0,55.0,55,54,58,56,69,66,71,https://cdn.sofifa.net/players/003/960/15_120.png,https://cdn.sofifa.net/teams/1898/60.png
P. Luccin,Peter Luccin,63,63,35000.0,3000.0,35,181,75,FC Dallas,SUB,8.0,France,Right,55.0,58.0,59.0,60.0,61.0,65.0,56,72,63,65,61,64,55,https://cdn.sofifa.net/players/004/353/15_120.png,https://cdn.sofifa.net/teams/695/60.png
L. Chadwick,Luke Chadwick,63,63,220000.0,2000.0,33,183,74,Cambridge United,SUB,22.0,England,Right,67.0,56.0,61.0,65.0,51.0,61.0,64,60,60,75,76,46,69,https://cdn.sofifa.net/players/004/520/15_120.png,https://cdn.sofifa.net/teams/1944/60.png
R. Wallner,Roman Wallner,63,63,275000.0,4000.0,32,178,77,SV Grödig,ST,8.0,Austria,Right,60.0,66.0,62.0,65.0,34.0,75.0,63,67,61,80,61,75,80,https://cdn.sofifa.net/players/007/221/15_120.png,https://cdn.sofifa.net/teams/112022/60.png
I. Harte,Ian Harte,63,63,,3000.0,36,176,78,AFC Bournemouth,LB,14.0,Republic of Ireland,Left,29.0,66.0,73.0,63.0,68.0,60.0,60,83,69,54,67,86,75,https://cdn.sofifa.net/players/007/612/15_120.png,https://cdn.sofifa.net/teams/1943/60.png
J. Goodwin,Jim Goodwin,63,63,230000.0,4000.0,32,183,77,St. Mirren,SUB,6.0,Republic of Ireland,Right,64.0,52.0,63.0,62.0,62.0,81.0,60,59,64,64,66,76,58,https://cdn.sofifa.net/players/011/260/15_120.png,https://cdn.sofifa.net/teams/100805/60.png
A. Lockwood,Adam Lockwood,63,63,190000.0,4000.0,32,183,77,Oldham Athletic,SUB,18.0,England,Right,41.0,33.0,43.0,54.0,66.0,67.0,46,48,62,64,54,35,76,https://cdn.sofifa.net/players/011/787/15_120.png,https://cdn.sofifa.net/teams/1920/60.png
K. Davies,Kevin Cyril Davies,63,63,35000.0,3000.0,37,183,80,Preston North End,SUB,9.0,England,Right,32.0,65.0,60.0,54.0,46.0,83.0,51,54,65,34,67,76,90,https://cdn.sofifa.net/players/011/918/15_120.png,https://cdn.sofifa.net/teams/1801/60.png
D. Connolly,David Connolly,63,63,35000.0,3000.0,37,175,68,Portsmouth,SUB,35.0,Republic of Ireland,Right,53.0,63.0,49.0,61.0,31.0,57.0,60,55,62,55,64,66,71,https://cdn.sofifa.net/players/013/403/15_120.png,https://cdn.sofifa.net/teams/1790/60.png
S. Simonsen,Steve Simonsen,63,63,190000.0,5000.0,35,188,80,Rangers FC,SUB,31.0,England,Right,,,,,,,25,25,23,54,57,22,74,https://cdn.sofifa.net/players/014/487/15_120.png,https://cdn.sofifa.net/teams/86/60.png
T. Cornelisse,Tim Cornelisse,63,63,,2000.0,36,184,73,Willem II,SUB,28.0,Netherlands,Right,37.0,45.0,61.0,56.0,66.0,64.0,55,47,62,38,66,57,57,https://cdn.sofifa.net/players/017/811/15_120.png,https://cdn.sofifa.net/teams/1907/60.png
P. Jehle,Peter Jehle,63,63,275000.0,2000.0,32,187,80,FC Vaduz,GK,1.0,Liechtenstein,Right,,,,,,,25,23,29,37,61,25,56,https://cdn.sofifa.net/players/018/739/15_120.png,https://cdn.sofifa.net/teams/286/60.png
L. McCulloch,Lee McCulloch,63,63,,5000.0,36,185,84,Rangers FC,RCM,6.0,Scotland,Right,59.0,63.0,59.0,50.0,58.0,78.0,44,51,57,58,66,68,66,https://cdn.sofifa.net/players/019/202/15_120.png,https://cdn.sofifa.net/teams/86/60.png
E. Hanstveit,Erlend Hanstveit,63,63,140000.0,4000.0,33,189,81,SK Brann,LCB,3.0,Norway,Left,47.0,50.0,62.0,55.0,64.0,71.0,53,68,61,42,66,68,60,https://cdn.sofifa.net/players/020/057/15_120.png,https://cdn.sofifa.net/teams/919/60.png
M. Lindström,Mattias Lindström,63,63,140000.0,4000.0,34,182,81,Helsingborgs IF,RM,7.0,Sweden,Right,63.0,65.0,62.0,60.0,45.0,74.0,58,62,61,63,64,77,71,https://cdn.sofifa.net/players/020/761/15_120.png,https://cdn.sofifa.net/teams/432/60.png
J. Lucena,Jerry Ruben Lucena,63,63,140000.0,3000.0,33,179,73,Esbjerg fB,SUB,21.0,Philippines,Right,41.0,49.0,54.0,56.0,59.0,74.0,49,65,58,70,63,62,70,https://cdn.sofifa.net/players/030/690/15_120.png,https://cdn.sofifa.net/teams/1445/60.png
